Run # 1
Initial state: 0 0.682251 0.503349 0.649243 0.452979 0.149235 0.157911 0.141393 0.447255 0.413649 0.665002 0.838422 0.668853 0.469784 0.949297 0.654262 0.416876 0.661956 0.255301 0.873407 0.790805 0.597282 0.338942 0.833134 0.799776 0.0322824 0.968713 0.826864 0.0826812 0.386323 0.761648 0.138618 0.40646 0.0782659 0.910368 0.502297 0.215695 0.881228 0.844361 0.722892 0.471761 0.94926 0.242255 0.863629 0.0899534 0.498253 0.227937 0.797276 0.717867 0.458528 0.501043 0.457285 0.975343 0.958547 0.211479 0.861555 0.834326 0.493206 0.313858 0.933517 0.0415445 0.633998 0.134589 0.666799 0.236628 0.149286 0.220116 0.131836 0.731215 0.53235 0.503745 0.183545 0.49595 0.734506 0.43286 0.723695 0.61606 0.629354 0.18168 0.647997 0.0874999 0.770891 0.712942 0.749396 0.441157 0.150082 0.284365 0.192762 0.0118515 0.93837 0.467703 0.0787733 0.4687 0.951047 0.249383 0.3535 0.928753 0.227791 0.757815 0.81203 0.279993 0.949073 0.167471 0.801693 0.920466 0.950905 0.50436 7.27107e-05 0.917518 0.280789 0.224106 0.650608 0.0594485 0.673612 0.946514 0.134671 0.881588 0.695411 0.68094 0.288225 0.107618 0.880197 0.30218 0.507063 0.962966 0.566233 0.824642 0.990452 0.929773 0.283608 0.205613 0.543046 0.491094 0.58473 0.984173 0.606239 0.164509 0.199022 0.441044 0.268373 0.712111 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 44, numVisits=0, meanQ=-inf, numObservations: 0
action 52, numVisits=0, meanQ=-inf, numObservations: 0
action 51, numVisits=0, meanQ=-inf, numObservations: 0
action 50, numVisits=0, meanQ=-inf, numObservations: 0
action 49, numVisits=0, meanQ=-inf, numObservations: 0
action 48, numVisits=0, meanQ=-inf, numObservations: 0
action 47, numVisits=0, meanQ=-inf, numObservations: 0
action 46, numVisits=0, meanQ=-inf, numObservations: 0
action 45, numVisits=0, meanQ=-inf, numObservations: 0
action 53, numVisits=0, meanQ=-inf, numObservations: 0
action 43, numVisits=0, meanQ=-inf, numObservations: 0
action 42, numVisits=0, meanQ=-inf, numObservations: 0
action 41, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 62, numVisits=0, meanQ=-inf, numObservations: 0
action 70, numVisits=0, meanQ=-inf, numObservations: 0
action 69, numVisits=0, meanQ=-inf, numObservations: 0
action 68, numVisits=0, meanQ=-inf, numObservations: 0
action 67, numVisits=0, meanQ=-inf, numObservations: 0
action 66, numVisits=0, meanQ=-inf, numObservations: 0
action 65, numVisits=0, meanQ=-inf, numObservations: 0
action 64, numVisits=0, meanQ=-inf, numObservations: 0
action 63, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
